"","age","gender","white","nrsk1","nrsk2","nrsk3","nrsk4","nben1","nben2","nben3","nben4","rskben","plantSite","plantNew","morePlants","college","grad","ideology","democrat","republican","con","liberal","year"
"1",76,1,1,8,5,8,5,8,5,8,8,4,4,6,5,1,0,6,0,1,1,0,2006
"2",73,0,1,5,5,10,6,NA,10,10,5,6,6,6,6,1,0,3,1,0,0,1,2006
"3",75,0,0,10,10,0,0,0,10,0,0,1,1,1,1,0,0,5,1,0,1,0,2006
"4",79,0,1,10,10,10,10,5,10,10,10,1,1,1,1,0,0,4,1,0,0,0,2006
"5",63,0,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,1,1,0,2006
"6",45,0,NA,4,3,5,7,7,7,9,8,6,6,2,4,1,0,4,1,0,0,0,2006
"7",20,1,1,2,3,0,0,10,8,7,6,6,7,5,6,0,0,1,0,0,0,1,2006
"8",33,0,1,8,8,8,6,5,6,8,6,5,2,2,2,1,0,6,0,1,1,0,2006
"9",21,1,0,5,10,10,5,9,8,6,5,4,7,1,4,1,0,6,1,0,1,0,2006
"10",43,1,1,NA,NA,NA,NA,5,5,7,3,2,1,1,1,0,0,6,NA,NA,1,0,2006
"11",44,1,1,5,5,5,0,7,7,8,5,4,5,2,3.5,1,0,4,0,0,0,0,2006
"12",64,1,1,0,0,6,2,10,10,2,2,4,6,1,3.5,1,1,2,0,0,0,1,2006
"13",48,0,1,7,5,6,5,8,6,10,8,6,NA,6,NA,0,0,1,1,0,0,1,2006
"14",53,0,1,4,3,5,3,6,8,8,4,4,4,5,4.5,0,0,5,NA,NA,1,0,2006
"15",70,0,1,7,5,9,NA,NA,7,8,5,5,5,6,5.5,1,0,5,0,1,1,0,2006
"16",44,1,1,1,0,0,0,10,10,10,10,7,7,7,7,0,0,6,0,0,1,0,2006
"17",38,1,1,7,6,8,2,8,8,7,6,5,NA,3,NA,1,0,4,0,1,0,0,2006
"18",33,1,0,10,9,9,9,5,4,7,6,6,5,5,5,0,0,6,0,0,1,0,2006
"19",39,0,1,10,10,10,10,8,6,7,8,3,4,5,4.5,0,0,4,1,0,0,0,2006
"20",52,0,1,3,5,3,5,10,6,10,8,5,7,5,6,1,1,2,1,0,0,1,2006
"21",53,1,0,10,10,10,10,10,10,10,10,7,7,7,7,0,0,7,NA,NA,1,0,2006
"22",52,1,1,8,3,3,5,7,4,1,4,1,1,1,1,1,0,3,1,0,0,1,2006
"23",67,1,1,2,2,1,2,10,10,10,7,6,7,7,7,0,0,6,0,1,1,0,2006
